"","通学路_街","撒済","1","1","0","1","1","0","0","0","0","1","1","","未定","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","/7","4.5","","","","","","","","","59","","3","","","","","","","","","109","","3","","","","","","","","","159","","3","スターリー_ライブハウス","","ー","on","","","","","209","","4","イメージ","","","","","","","","","","",""
"","秀華高校_教室","","2","6","1","3","6","2","4","0","0","1","2","","未定","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","3","後藤家_ひとりの部屋","カーテン開き","あさ","off","","","","","60","","3","","","","","","","","","110","","3","","","","","","","","","160","","3","","","","","","","","","210","","4","","","","","","","","","","","",""
"","イメージ","","2.6","11","0","4.25","11","4.25","11","0","0","0","0","","未定","","","","","","","","","4.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","/3","3","","","","","","","","","61","","3","","","","","","","","","111","","3","","","","","","","","","161","","3","","","","","","","","","211","/207/218","4","","","","","","","","","","","",""
"","秀華高校_廊下_荷物置き場","","2.5","43","0","17.5","35","17.5","35","0","0","0","0","","梨華","","","","","","","","","","","","","","","","","","","","","","17.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","3","","","","","","","","","62","","3","","","","","","","","","112","","","","全セル","","","","","","","162","","3","イメージ_シャボン玉","","","","","","","","212","","","","欠","","","","","","","","","",""
"","イメージ_教室","","4","1","0","0.25","1","0.25","1","0","0","0","0","","","","","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","3","","","","","","","","","63","","3","","","","","","","","","113","","3","イメージ","","","","","","","","163","","3","","","","","","","","","213","","3","","","","","","","","","","","",""
"","イメージ_ステージ","","4","2","0","0.5","2","0.5","2","0","0","0","0","","未定","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","2","イメージ流背","","","","","","","","64","","3","","","","","","","","","114","","3","スターリー_ライブハウス","95","ー","on","","","","","164","","3","","","","","","","","","214","","3","","","","","","","","","","","",""
"","_業務外","","2","3","0","1.5","3","1.5","3","0","0","0","0","","守安","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","欠","","","","","","","65","","3","","","","","","","","","115","","3","","時計16:30頃","","","","","","","165","","3","","","","","","","","","215","","3","","","","","","","","","","","",""
"","下北沢高校_教室","","1","2","0","2","2","2","2","0","0","0","0","","守安","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","3","","","","","","","","","66","","3","","","","","","","","","116","","3","","","","","","","","","166","","3","","","","","","","","","216","","3","","","","","","","","","","","",""
"","秀華高校_教室_教室前","","2.6","11","0","4.25","11","4.25","11","0","0","0","0","","リン","","","","","","","","","4.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","8","通学路_街","","あさ","","","","","","67","","3","","","","","","","","","117","","3","","","","","","","","","167","","3","スターリー_ライブハウス","","ー","on","","","","","217","","3","","","","","","","","","","","",""
"","下北沢高校_昇降口","","1.3","1","0","0.75","1","0.75","1","0","0","0","0","","原","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","4","秀華高校_教室","教室＆前19cut","あさ","保留","","","","","68","","4","秀華高校_廊下_荷物置き場","","昼","off","","","","","118","/125","3","","","","","","","","","168","/176","3","","","","","","","","","218","/207/211","3","","","","","","","","","","","",""
"","下北沢_街_駅前","","2.1","13","0","6.25","13","6.25","13","0","0","0","0","","","","false","","","","","","","","","6.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","4","","","","","","","","","69","","4","","","","","","","","","119","","","","欠","","","","","","","169","","3","","","","","","","","","219","","3","","","","","","","","","","","",""
"","スターリー_ライブハウス","","2.7","90","0","33.25","81","32.75","80","0","0","0.5","1","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","4","","","","","","","","","70","","4","","","","","","","","","120","","","","全セル","","","","","","","170","","3","","","","","","","","","220","","3","","","","","","","","","","","",""
"","スターリー_入口","","2","1","0","0.5","1","0.5","1","0","0","0","0","","","","false","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","4","","","","","","","","","71","","4","","","","","","","","","121","","4","イメージ","","","","","","","","171","","3","","","","off","","","","","221","","3","","","","","","","","","","","",""
"","イメージ_シャボン玉","","2.5","5","0","2","5","2","5","0","0","0","0","","","","false","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","2","イメージ","","","","","","","","72","","4","","","","","","","","","122","","4","","","","","","","","","172","","","","欠","","","","","","","222","","3","","","","","","","","","","","",""
"","スターリー_入口_外観","","2.7","2","0","0.75","2","0.75","2","0","0","0","0","","","","false","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","4","","","","","","","","","73","","4","","","","","","","","","123","","4","","","","","","","","","173","","3","","","","","","","","","223","","3","","","","","","","","","","","",""
"","スターリー_練習スタジオ","","0.1","17","0","142.75","15","142.75","15","0","0","0","0","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142.75","","","","","","","","","24","","4","","","","","","","","","74","/78/91","4","","","","","","","","","124","","4","","","","","","","","","174","/157","3","","","","","","","","","224","","3","イメージ","","","","","","","","","","",""
"","欠番、Bank、全セル","T1済","0","32","0","0","0","0","0","0","0","0","0","","","","false","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","イメージ","全セル","","","","","","","75","/77/82","4","","","","","","","","","125","/118","4","","","","","","","","","175","","3","","","","","","","","","225","","3","","","","","","","","","","","",""
"","_素材作業","","1","4","1","4","4","2","2","0","0","2","2","","","","false","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","/32","4","秀華高校_廊下_荷物置き場","43cut","昼","off","","","","","76","","4","","","","","","","","","126","/129","4","","","","","","","","","176","/168","3","","","","","","","","","226","/228","3","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","false","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","4","","","","","","","","","77","/75/82","4","","","","","","","","","127","","4","","","","","","","","","177","","","","欠","","","","","","","227","","3","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","false","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","4","","","","","","","","","78","/74/91","4","","","","","","","","","128","","4","","","","","","","","","178","","3","","","","","","","","","228","/226","3","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","false","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","4","","","","","","","","","79","/84","4","","","","","","","","","129","/126","4","","","","","","","","","179","","3","","","","","","","","","229","","3","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","false","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30bg1","","2","イメージ_教室","","","","","","","","80","","","イメージ","全セル","","","","","","","130","","4","","","","","","","","","180","","","","欠","","","","","","","230","","3","","","","","","","","","","","",""
