"BTR#3","","","","","","","","","","","","","","※枚数表記は兼用を除いたカット数になります　※工数日は目安のため前後する場合があります","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BTR#3","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所"
"制作進行：CLW　●●さん","","","","","","工数（日）/描き枚数","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","",""
"","秀華高校_教室","T1済","0","0","0","0","0","0","0","0","0","0","0","","原","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","3","後藤家_ひとりの部屋","カーテン開き","あさ","off","","","","","60","","3","","","","","","","","","110","","3","","","","","","","","","160","","3","","","","","","","","","210","","4","","","","","","","",""
"","イメージ","T1済","0","0","0","0","0","0","0","0","0","0","0","","井上","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","/3","3","","","","","","","","","61","","3","","","","","","","","","111","","3","","","","","","","","","161","","3","","","","","","","","","211","/207/218","4","","","","","","","",""
"","秀華高校_廊下_荷物置き場","T1済","0","0","0","0","0","0","0","0","0","0","0","","梨華","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","3","","","","","","","","","62","","3","","","","","","","","","112","","","","全セル","","","","","","","162","","3","イメージ_シャボン玉","","","","","","","","212","","","","欠","","","","","",""
"","イメージ_教室","T1済","0","0","0","0","0","0","0","0","0","0","0","","未定","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","3","","","","","","","","","63","","3","","","","","","","","","113","","3","イメージ","","","","","","","","163","","3","","","","","","","","","213","","3","","","","","","","",""
"","イメージ_ステージ","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","2","イメージ流背","","","","","","","","64","","3","","","","","","","","","114","","3","スターリー_ライブハウス","95","ー","on","","","","","164","","3","","","","","","","","","214","","3","","","","","","","",""
"","_業務外","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","欠","","","","","","","65","","3","","","","","","","","","115","","3","","時計16:30頃","","","","","","","165","","3","","","","","","","","","215","","3","","","","","","","",""
"","下北沢高校_教室","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","3","","","","","","","","","66","","3","","","","","","","","","116","","3","","","","","","","","","166","","3","","","","","","","","","216","","3","","","","","","","",""
"","秀華高校_教室_教室前","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","8","通学路_街","","あさ","","","","","","67","","3","","","","","","","","","117","","3","","","","","","","","","167","","3","スターリー_ライブハウス","","ー","on","","","","","217","","3","","","","","","","",""
"","下北沢高校_昇降口","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","4","秀華高校_教室","教室＆前19cut","あさ","保留","","","","","68","","4","秀華高校_廊下_荷物置き場","","昼","off","","","","","118","/125","3","","","","","","","","","168","/176","3","","","","","","","","","218","/207/211","3","","","","","","","",""
"","下北沢_街_駅前","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","4","","","","","","","","","69","","4","","","","","","","","","119","","","","欠","","","","","","","169","","3","","","","","","","","","219","","3","","","","","","","",""
